05;7;62;020;H0010;1;;001;2731362.7955435505;5742671.957370761;A;00
05;7;62;020;H0010;10;;001;2731289.741314099;5742682.199795723;A;00
05;7;62;020;H0010;10;a;001;2731272.036592886;5742686.754644327;A;00
05;7;62;020;H0010;11;;001;2731308.959220672;5742654.647641535;A;00
05;7;62;020;H0010;12;;001;2731202.0530064995;5742682.42972944;A;00
05;7;62;020;H0010;13;;001;2731293.342166164;5742651.862423062;A;00
05;7;62;020;H0010;14;;001;2731185.4953345833;5742659.765250727;A;00
05;7;62;020;H0010;15;;001;2731284.9473233167;5742650.377538527;A;00
05;7;62;020;H0010;16;;001;2731179.5544128614;5742642.509412235;A;00
05;7;62;020;H0010;17;;001;2731294.910597012;5742619.860356654;A;00
05;7;62;020;H0010;18;;001;2731181.0418956107;5742624.125790789;A;00
05;7;62;020;H0010;19;;001;2731287.188560746;5742620.576292702;A;00
05;7;62;020;H0010;2;;001;2731354.954660312;5742710.128284603;A;00
05;7;62;020;H0010;20;;001;2731191.25059015;5742612.6336914655;A;00
05;7;62;020;H0010;20;a;001;2731193.7837342685;5742608.367749992;A;00
05;7;62;020;H0010;21;;001;2731279.4427839704;5742621.406468916;A;00
05;7;62;020;H0010;23;;001;2731271.6596549843;5742621.951570432;A;00
05;7;62;020;H0010;25;;001;2731263.827187037;5742622.502655109;A;00
05;7;62;020;H0010;27;;001;2731256.643116743;5742656.816253956;A;00
05;7;62;020;H0010;29;a;001;2731221.2677104007;5742663.031878544;A;00
05;7;62;020;H0010;29;;001;2731236.379055834;5742667.830116952;A;00
05;7;62;020;H0010;3;;001;2731355.874912995;5742670.802708339;A;00
05;7;62;020;H0010;31;;001;2731210.4967928645;5742649.129839601;A;00
05;7;62;020;H0010;33;;001;2731223.128862853;5742628.0091433255;A;00
05;7;62;020;H0010;5;;001;2731342.638301641;5742664.515712813;A;00
05;7;62;020;H0010;7;;001;2731333.6677488824;5742662.8999147955;A;00
05;7;62;020;H0010;8;;001;2731322.1689412524;5742684.771625547;A;00
05;7;62;020;H0010;9;;001;2731317.880368709;5742656.222330429;A;00
05;7;62;020;X9340;1;;001;2734972.702908458;5747902.991719656;A;00
05;7;62;020;X9340;2;;001;2734729.452783563;5748140.283677019;A;00
05;7;62;020;X9340;3;;001;2734897.4054412493;5748186.188775064;A;00
05;7;62;020;H0020;1;;001;2731401.019763665;5745795.081147229;A;00
05;7;62;020;H0020;10;;001;2731407.8972443165;5745875.367929542;A;00
05;7;62;020;H0020;12;;001;2731401.841460161;5745890.598732573;A;00
05;7;62;020;H0020;14;;001;2731397.045891181;5745906.0768255405;A;00
05;7;62;020;H0020;16;;001;2731395.76213816;5745923.836650357;A;00
05;7;62;020;H0020;3;;001;2731393.358617321;5745820.776744068;A;00
05;7;62;020;H0020;4;;001;2731417.9427257692;5745823.705228302;A;00
05;7;62;020;H0020;5;;001;2731385.478683555;5745843.174099426;A;00
05;7;62;020;H0020;6;;001;2731411.1538694855;5745839.949807229;A;00
05;7;62;020;H0020;7;;001;2731377.575947122;5745866.903035645;A;00
05;7;62;020;H0020;8;;001;2731405.956541006;5745856.716820614;A;00
05;7;62;020;H0020;9;;001;2731371.105126845;5745887.222400288;A;00
05;7;62;020;H4570;1;;001;2731098.2197118923;5746143.8230880145;A;00
05;7;62;020;H0030;1;;001;2732116.4371999702;5742714.620217685;A;00
05;7;62;020;H0030;3;;001;2732122.2524853605;5742676.517020317;A;00
05;7;62;020;H0030;5;;001;2732125.6124494607;5742669.374592452;A;00
05;7;62;020;H0030;7;;001;2732129.1256528334;5742661.892819969;A;00
05;7;62;020;H0030;9;;001;2732146.2142267106;5742635.590386011;A;00
05;7;62;020;H0040;1;;001;2732316.3343591643;5742413.803550223;A;00
05;7;62;020;H0040;10;;001;2732377.020822788;5742516.849516482;A;00
05;7;62;020;H0040;11;;001;2732274.757543132;5742493.234214956;A;00
05;7;62;020;H0040;12;;001;2732366.8424192714;5742534.65992348;A;00
05;7;62;020;H0040;13;;001;2732266.9253450637;5742507.109590785;A;00
05;7;62;020;H0040;14;;001;2732353.690368261;5742508.680025098;A;00
05;7;62;020;H0040;15;;001;2732255.293208999;5742526.96310747;A;00
05;7;62;020;H0040;16;;001;2732345.8479771893;5742502.14827483;A;00
05;7;62;020;H0040;17;;001;2732252.051651463;5742532.738817437;A;00
05;7;62;020;H0040;18;;001;2732322.826387999;5742484.776025716;A;00
05;7;62;020;H0040;19;;001;2732239.860825969;5742553.969978898;A;00
05;7;62;020;H0040;2;;001;2732326.201736141;5742461.179007289;A;00
05;7;62;020;H0040;20;;001;2732317.701227442;5742480.3589793695;A;00
05;7;62;020;H0040;21;;001;2732236.618308888;5742559.744646568;A;00
05;7;62;020;H0040;22;;001;2732289.246700632;5742524.455003981;A;00
05;7;62;020;H0040;24;;001;2732298.9347251756;5742529.961673578;A;00
05;7;62;020;H0040;26;;001;2732321.4070842615;5742542.764682738;A;00
05;7;62;020;H0040;28;;001;2732330.9942487734;5742548.1660084175;A;00
05;7;62;020;H0040;3;;001;2732310.0827744454;5742431.872857127;A;00
05;7;62;020;H0040;30;;001;2732354.1072149705;5742556.96976706;A;00
05;7;62;020;H0040;34;;001;2732325.1677040486;5742568.686433671;A;00
05;7;62;020;H0040;36;;001;2732317.2037495626;5742562.235838922;A;00
05;7;62;020;H0040;38;;001;2732292.5048461603;5742549.927243477;A;00
05;7;62;020;H0040;4;;001;2732335.989784704;5742466.689793938;A;00
05;7;62;020;H0040;40;;001;2732284.5491220565;5742543.690394248;A;00
05;7;62;020;H0040;5;;001;2732302.2109787604;5742445.469080657;A;00
05;7;62;020;H0040;6;;001;2732355.7584188203;5742487.633104916;A;00
05;7;62;020;H0040;7;;001;2732291.575929641;5742462.958104438;A;00
05;7;62;020;H0040;8;;001;2732365.4464476695;5742493.139774584;A;00
05;7;62;020;H0040;9;;001;2732284.5155345174;5742476.387361116;A;00
05;7;62;020;H0050;1;;001;2732175.036282217;5743011.288521737;A;00
05;7;62;020;H0050;10;;001;2732122.9953975845;5742967.894987293;A;00
05;7;62;020;H0050;11;;001;2732174.374926289;5742936.486495028;A;00
05;7;62;020;H0050;13;;001;2732149.1777891153;5742958.121739313;A;00
05;7;62;020;H0050;15;;001;2732128.045052069;5742951.813073266;A;00
05;7;62;020;H0050;17;;001;2732093.269886888;5742945.46954286;A;00
05;7;62;020;H0050;2;;001;2732153.4095692486;5743016.584546913;A;00
05;7;62;020;H0050;3;;001;2732176.19506053;5742997.286605291;A;00
05;7;62;020;H0050;4;;001;2732154.6614521123;5743002.243816877;A;00
05;7;62;020;H0050;5;;001;2732178.6993558966;5742984.282891973;A;00
05;7;62;020;H0050;6;;001;2732158.4222824713;5742988.920151042;A;00
05;7;62;020;H0050;7;;001;2732187.156114725;5742970.666705652;A;00
05;7;62;020;H0050;8;;001;2732159.953577726;5742974.728188465;A;00
05;7;62;020;H0050;9;;001;2732189.627739313;5742957.410168906;A;00
05;7;62;020;H0060;1;;001;2731498.172036216;5742932.760757533;A;00
05;7;62;020;H0060;10;;001;2731497.9968071906;5743053.247609354;A;00
05;7;62;020;H0060;11;;001;2731480.927049844;5743023.531667952;A;00
05;7;62;020;H0060;12;;001;2731472.1466001393;5743081.424296361;A;00
05;7;62;020;H0060;14;;001;2731474.638340956;5743065.368337686;A;00
05;7;62;020;H0060;2;;001;2731518.8632761072;5742948.741563237;A;00
05;7;62;020;H0060;3;;001;2731496.0624950556;5742948.026935699;A;00
05;7;62;020;H0060;4;;001;2731513.624616409;5742975.081073733;A;00
05;7;62;020;H0060;5;;001;2731490.3728776933;5742970.720003748;A;00
05;7;62;020;H0060;6;;001;2731508.5890582;5743001.476036889;A;00
05;7;62;020;H0060;7;;001;2731488.0491809393;5742986.442240837;A;00
05;7;62;020;H0060;8;;001;2731503.496498284;5743027.722374295;A;00
05;7;62;020;H0060;9;;001;2731483.495353785;5743008.195217128;A;00
05;7;62;020;H0071;1;;001;2733416.263122683;5743651.4608899;A;00
05;7;62;020;H0071;1;a;001;2733415.0386022297;5743641.249120295;A;00
05;7;62;020;H0071;10;;001;2733455.669259414;5743800.663799834;A;00
05;7;62;020;H0071;10;c;001;2733529.4637656873;5743881.758916916;A;00
05;7;62;020;H0071;10;b;001;2733512.0084622474;5743870.498873356;A;00
05;7;62;020;H0071;12;b;001;2733495.863500411;5743856.542570582;A;00
05;7;62;020;H0071;12;;001;2733459.0526777906;5743833.79393842;A;00
05;7;62;020;H0071;12;a;001;2733488.0861755577;5743850.912119022;A;00
05;7;62;020;H0071;13;;001;2733427.4854123504;5743748.104124746;A;00
05;7;62;020;H0071;14;;001;2733462.431301677;5743860.278234856;A;00
05;7;62;020;H0071;15;;001;2733428.8712775577;5743759.336470743;A;00
05;7;62;020;H0071;16;;001;2733464.540262233;5743877.476664298;A;00
05;7;62;020;H0071;17;;001;2733430.868828918;5743775.177733422;A;00
05;7;62;020;H0071;18;;001;2733466.7324421927;5743898.784335024;A;00
05;7;62;020;H0071;19;;001;2733432.213145354;5743789.389039905;A;00
05;7;62;020;H0071;19;a;001;2733431.0452987715;5743809.42314797;A;00
05;7;62;020;H0071;21;a;001;2733384.3109626635;5743830.7414027015;A;00
05;7;62;020;H0071;21;;001;2733430.304207297;5743836.390993347;A;00
05;7;62;020;H0071;23;;001;2733442.4566491777;5743863.285771301;A;00
05;7;62;020;H0071;23;a;001;2733438.762300218;5743879.785286269;A;00
05;7;62;020;H0071;24;;001;2733494.376005169;5744010.553511793;A;00
05;7;62;020;H0071;25;a;001;2733424.6292530564;5743911.945446776;A;00
05;7;62;020;H0071;25;;001;2733448.237450352;5743908.460388011;A;00
05;7;62;020;H0071;27;;001;2733391.7060983023;5743939.63860798;A;00
05;7;62;020;H0071;28;;001;2733479.2391760717;5744038.891130701;A;00
05;7;62;020;H0071;28;a;001;2733478.9493807866;5744047.507613841;A;00
05;7;62;020;H0071;29;;001;2733437.8759701434;5744034.379007516;A;00
05;7;62;020;H0071;3;;001;2733417.475053457;5743661.053964936;A;00
05;7;62;020;H0071;30;;001;2733479.38045103;5744084.594914083;A;00
05;7;62;020;H0071;30;a;001;2733475.0753194857;5744098.238883669;A;00
05;7;62;020;H0071;31;;001;2733446.3492956064;5744060.011139557;A;00
05;7;62;020;H0071;32;;001;2733475.608897108;5744111.530113776;A;00
05;7;62;020;H0071;32;a;001;2733479.888012789;5744120.06828815;A;00
05;7;62;020;H0071;32;b;001;2733479.4450145867;5744128.852792476;A;00
05;7;62;020;H0071;32;c;001;2733474.7998811915;5744135.962347701;A;00
05;7;62;020;H0071;33;e;001;2733439.9118940397;5744094.116378554;A;00
05;7;62;020;H0071;33;d;001;2733411.8336230377;5744071.418821349;A;00
05;7;62;020;H0071;33;;001;2733441.0036193053;5744135.499006552;A;00
05;7;62;020;H0071;33;c;001;2733387.510549769;5744046.8470899835;A;00
05;7;62;020;H0071;33;b;001;2733409.617602685;5744051.468756895;A;00
05;7;62;020;H0071;33;a;001;2733432.199086475;5744071.71766499;A;00
05;7;62;020;H0071;34;;001;2733471.191741485;5744157.83563166;A;00
05;7;62;020;H0071;35;;001;2733439.9077103958;5744196.643298387;A;00
05;7;62;020;H0071;36;;001;2733468.7480885475;5744200.3039826825;A;00
05;7;62;020;H0071;36;a;001;2733472.3686133325;5744221.400981651;A;00
05;7;62;020;H0071;37;;001;2733415.997747638;5744196.09524221;A;00
05;7;62;020;H0071;39;;001;2733428.7583648316;5744212.237586562;A;00
05;7;62;020;H0071;41;;001;2733426.7126414888;5744220.406023056;A;00
05;7;62;020;H0071;42;;001;2733678.387458619;5744395.000627967;A;00
05;7;62;020;H0071;43;;001;2733401.526362019;5744220.487688591;A;00
05;7;62;020;H0071;45;;001;2733385.2664804277;5744228.731877084;A;00
05;7;62;020;H0071;49;;001;2733458.187649756;5744278.145938796;A;00
05;7;62;020;H0071;5;;001;2733419.014962398;5743674.141171532;A;00
05;7;62;020;H0071;51;;001;2733478.0050349524;5744289.658610783;A;00
05;7;62;020;H0071;53;;001;2733492.2802382344;5744299.313890872;A;00
05;7;62;020;H0071;55;;001;2733499.026001271;5744303.2316899365;A;00
05;7;62;020;H0071;57;;001;2733510.84471107;5744314.852717721;A;00
05;7;62;020;H0071;59;;001;2733527.562421463;5744335.505353257;A;00
05;7;62;020;H0071;6;;001;2733447.8773339223;5743744.452505694;A;00
05;7;62;020;H0071;60;;001;2733829.30344277;5744551.987438585;A;00
05;7;62;020;H0071;61;a;001;2733665.7615963323;5744455.17009159;A;00
05;7;62;020;H0071;61;;001;2733612.3839801275;5744425.010085303;A;00
05;7;62;020;H0071;62;;001;2733854.8315093503;5744588.338270288;A;00
05;7;62;020;H0071;63;;001;2733711.4197433824;5744516.967978656;A;00
05;7;62;020;H0071;63;a;001;2733766.1908448515;5744571.114000363;A;00
